Date,Open,High,Low,Close,Adj Close,Volume
1/4/2021,133.520004,133.610001,126.760002,129.410004,128.453445,143301900
1/5/2021,128.889999,131.740005,128.429993,131.009995,130.041611,97664900
1/6/2021,127.720001,131.050003,126.379997,126.599998,125.664207,155088000
1/7/2021,128.360001,131.630005,127.860001,130.919998,129.952271,109578200
1/8/2021,132.429993,132.630005,130.229996,132.050003,131.073929,105158200
1/11/2021,129.190002,130.169998,128.5,128.979996,128.026611,100384500
1/12/2021,128.5,129.690002,126.860001,128.800003,127.847954,91951100
1/13/2021,128.759995,131.449997,128.490005,130.889999,129.922501,88636800
1/14/2021,130.800003,131,128.759995,128.910004,127.957153,90221800
1/15/2021,128.779999,130.220001,127,127.139999,126.200218,111598500
1/19/2021,127.779999,128.710007,126.940002,127.830002,126.885124,90757300
1/20/2021,128.660004,132.490005,128.550003,132.029999,131.054077,104319500
1/21/2021,133.800003,139.669998,133.589996,136.869995,135.858292,120150900
1/22/2021,136.279999,139.850006,135.020004,139.070007,138.042053,114459400
1/25/2021,143.070007,145.089996,136.539993,142.919998,141.863586,157611700
1/26/2021,143.600006,144.300003,141.369995,143.160004,142.101807,98390600
1/27/2021,143.429993,144.300003,140.410004,142.059998,141.009949,140843800
1/28/2021,139.520004,141.990005,136.699997,137.089996,136.07666,142621100
1/29/2021,135.830002,136.740005,130.210007,131.960007,130.984604,177523800
2/1/2021,133.75,135.380005,130.929993,134.139999,133.148483,106239800
2/2/2021,135.729996,136.309998,134.610001,134.990005,133.992203,83305400
2/3/2021,135.759995,135.770004,133.610001,133.940002,132.949951,89880900
2/4/2021,136.300003,137.399994,134.589996,137.389999,136.374466,84183100
2/5/2021,137.350006,137.419998,135.860001,136.759995,135.95195,75693800
2/8/2021,136.029999,136.960007,134.919998,136.910004,136.101105,71297200
2/9/2021,136.619995,137.880005,135.850006,136.009995,135.206406,76774200
2/10/2021,136.479996,136.990005,134.399994,135.389999,134.590073,73046600
2/11/2021,135.899994,136.389999,133.770004,135.130005,134.331604,64280000
2/12/2021,134.350006,135.529999,133.690002,135.369995,134.570175,60145100
2/16/2021,135.490005,136.009995,132.789993,133.190002,132.403061,80576300
2/17/2021,131.25,132.220001,129.470001,130.839996,130.06694,97918500
2/18/2021,129.199997,130,127.410004,129.710007,128.943619,96856700
2/19/2021,130.240005,130.710007,128.800003,129.869995,129.102676,87668800
2/22/2021,128.009995,129.720001,125.599998,126,125.255554,103916400
2/23/2021,123.760002,126.709999,118.389999,125.860001,125.116371,158273000
2/24/2021,124.940002,125.559998,122.230003,125.349998,124.60939,111039900
2/25/2021,124.68,126.459999,120.540001,120.989998,120.275139,148199500
2/26/2021,122.589996,124.849998,121.199997,121.260002,120.543549,164560400
3/1/2021,123.75,127.93,122.790001,127.790001,127.034973,116307900
3/2/2021,128.410004,128.720001,125.010002,125.120003,124.380745,102260900
3/3/2021,124.809998,125.709999,121.839996,122.059998,121.338821,112966300
3/4/2021,121.75,123.599998,118.620003,120.129997,119.420219,178155000
3/5/2021,120.980003,121.940002,117.57,121.419998,120.702591,153766600
3/8/2021,120.93,121,116.209999,116.360001,115.672501,154376600
3/9/2021,119.029999,122.059998,118.790001,121.089996,120.374542,129525800
3/10/2021,121.690002,122.169998,119.449997,119.980003,119.271118,111943300
3/11/2021,122.540001,123.209999,121.260002,121.959999,121.23941,103026500
3/12/2021,120.400002,121.169998,119.160004,121.029999,120.314903,88105100
3/15/2021,121.410004,124,120.419998,123.989998,123.257423,92403800
3/16/2021,125.699997,127.220001,124.720001,125.57,124.828087,115227900
3/17/2021,124.050003,125.860001,122.339996,124.760002,124.022865,111932600
3/18/2021,122.879997,123.18,120.32,120.529999,119.817856,121229700
3/19/2021,119.900002,121.43,119.68,119.989998,119.281052,185549500
3/22/2021,120.330002,123.870003,120.260002,123.389999,122.660965,111912300
3/23/2021,123.330002,124.239998,122.139999,122.540001,121.815987,95467100
3/24/2021,122.82,122.900002,120.07,120.089996,119.380455,88530500
3/25/2021,119.540001,121.660004,119,120.589996,119.87751,98844700
3/26/2021,120.349998,121.480003,118.919998,121.209999,120.493835,94071200
3/29/2021,121.650002,122.580002,120.730003,121.389999,120.672775,80819200
3/30/2021,120.110001,120.400002,118.860001,119.900002,119.191582,85671900
3/31/2021,121.650002,123.519997,121.150002,122.150002,121.428291,118323800
4/1/2021,123.660004,124.18,122.489998,123,122.27327,75089100
4/5/2021,123.870003,126.160004,123.07,125.900002,125.156136,88651200
4/6/2021,126.5,127.129997,125.650002,126.209999,125.46431,80171300
4/7/2021,125.830002,127.919998,125.139999,127.900002,127.144318,83466700
